carrierID;carrierFleetSize;vehicleType;vehicle_IdstartLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep24_carrier;1;cepVehicleType0;24_v0;5673;x=4601807,75:y=5824904,0;5711;x=4602766,5:y=5825316,75;12749,0;12864,0;768,0481778740013;115,0;
cep0_carrier;2;cepVehicleType0;0_v1;21887;x=4581188,25:y=5809042,5;28;x=4578662,0:y=5810158,0;10800,0;11388,0;5191,114888368907;588,0;
cep0_carrier;2;cepVehicleType0;0_v1;28;x=4578662,0:y=5810158,0;7;x=4576964,5:y=5809802,0;11508,0;11794,0;1908,0;286,0;
cep0_carrier;2;cepVehicleType0;0_v1;7;x=4576964,5:y=5809802,0;5;x=4575958,25:y=5809611,0;11914,0;12105,0;1277,0;191,0;
cep0_carrier;2;cepVehicleType0;0_v1;5;x=4575958,25:y=5809611,0;3;x=4574933,5:y=5809507,75;12285,0;12285,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;3;x=4574933,5:y=5809507,75;9161;x=4575703,75:y=5812186,5;12405,0;14498,0;14583,107023724853;2093,0;
cep0_carrier;2;cepVehicleType0;0_v1;9161;x=4575703,75:y=5812186,5;153;x=4576928,0:y=5813292,5;14618,0;14866,0;1655,0;248,0;
cep0_carrier;2;cepVehicleType0;0_v1;153;x=4576928,0:y=5813292,5;25;x=4577683,5:y=5813905,0;14986,0;15234,0;1655,0;248,0;
cep0_carrier;2;cepVehicleType0;0_v1;25;x=4577683,5:y=5813905,0;25;x=4577683,5:y=5813905,0;15354,0;15354,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;25;x=4577683,5:y=5813905,0;25;x=4577683,5:y=5813905,0;15474,0;15474,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;25;x=4577683,5:y=5813905,0;33;x=4578511,0:y=5814679,5;15654,0;15666,0;86,02325267042627;12,0;
cep0_carrier;2;cepVehicleType0;0_v1;33;x=4578511,0:y=5814679,5;131;x=4579527,0:y=5815823,5;15786,0;15786,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;131;x=4579527,0:y=5815823,5;34;x=4578511,0:y=5814679,5;15966,0;16162,0;1310,0095419499814;196,0;
cep0_carrier;2;cepVehicleType0;0_v1;34;x=4578511,0:y=5814679,5;34;x=4578511,0:y=5814679,5;16282,0;16282,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;34;x=4578511,0:y=5814679,5;34;x=4578511,0:y=5814679,5;16402,0;16402,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;34;x=4578511,0:y=5814679,5;34;x=4578511,0:y=5814679,5;16522,0;16522,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;34;x=4578511,0:y=5814679,5;41;x=4578049,5:y=5818473,5;16642,0;17170,0;3526,400791294973;528,0;
cep0_carrier;2;cepVehicleType0;0_v1;41;x=4578049,5:y=5818473,5;21716;x=4575400,0:y=5816192,25;17290,0;18088,0;5320,0644289337615;798,0;
cep0_carrier;2;cepVehicleType0;0_v1;21716;x=4575400,0:y=5816192,25;9145;x=4573642,25:y=5809094,75;18268,0;19756,0;11607,378398333647;1488,0;
cep0_carrier;2;cepVehicleType0;0_v1;9145;x=4573642,25:y=5809094,75;4;x=4574933,5:y=5809507,75;19876,0;19932,0;378,0;56,0;
cep0_carrier;2;cepVehicleType0;0_v1;4;x=4574933,5:y=5809507,75;7;x=4576964,5:y=5809802,0;20052,0;20167,0;773,0;115,0;
cep0_carrier;2;cepVehicleType0;0_v1;7;x=4576964,5:y=5809802,0;7;x=4576964,5:y=5809802,0;20287,0;20287,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;7;x=4576964,5:y=5809802,0;8;x=4576964,5:y=5809802,0;20407,0;20407,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;8;x=4576964,5:y=5809802,0;27;x=4578662,0:y=5810158,0;20587,0;20873,0;1908,0;286,0;
cep0_carrier;2;cepVehicleType0;0_v1;27;x=4578662,0:y=5810158,0;27;x=4578662,0:y=5810158,0;20993,0;20993,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;27;x=4578662,0:y=5810158,0;55;x=4579584,0:y=5810259,5;21113,0;21113,0;0,0;0,0;
