carrierID;carrierFleetSize;vehicleType;vehicle_Id;startLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep0_carrier;2;cepVehicleType0;0_v1;27;x=4578662,0:y=5810158,0;27;x=4578662,0:y=5810158,0;20993;20993;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;27;x=4578662,0:y=5810158,0;55;x=4579584,0:y=5810259,5;21113;21113;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;55;x=4579584,0:y=5810259,5;21293;21293;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;55;x=4579584,0:y=5810259,5;21413;21413;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;55;x=4579584,0:y=5810259,5;21533;21533;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;55;x=4579584,0:y=5810259,5;21653;21653;0;0;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;21887;x=4581188,25:y=5809042,5;21833;22104;1813;271;
cep22_carrier;1;cepVehicleType0;22_v0;5624;x=4599357,0:y=5826722,75;5577;x=4598025,0:y=5828070,5;10800;11140;2270,25327;340;
cep22_carrier;1;cepVehicleType0;22_v0;5577;x=4598025,0:y=5828070,5;5777;x=4599288,25:y=5832398,0;11260;12052;5280,382345;792;
cep22_carrier;1;cepVehicleType0;22_v0;5777;x=4599288,25:y=5832398,0;5809;x=4601562,0:y=5834477,5;12172;12866;4627,28531;694;
cep22_carrier;1;cepVehicleType0;22_v0;5809;x=4601562,0:y=5834477,5;5699;x=4602187,0:y=5828025,25;12986;14328;8948,206475;1342;
cep22_carrier;1;cepVehicleType0;22_v0;5699;x=4602187,0:y=5828025,25;5641;x=4600143,5:y=5825737,5;14448;15151;4689,762816;703;
cep22_carrier;1;cepVehicleType0;22_v0;5641;x=4600143,5:y=5825737,5;5609;x=4599623,0:y=5824959,0;15271;15507;1573,779512;236;
cep22_carrier;1;cepVehicleType0;22_v0;5609;x=4599623,0:y=5824959,0;6672;x=4598676,25:y=5824835,0;15627;15737;738,4945829;110;
cep22_carrier;1;cepVehicleType0;22_v0;6672;x=4598676,25:y=5824835,0;4567;x=4597567,25:y=5824912,5;15857;16054;1318,304693;197;
cep22_carrier;1;cepVehicleType0;22_v0;4567;x=4597567,25:y=5824912,5;5585;x=4598796,0:y=5825007,0;16174;16317;954;143;
cep22_carrier;1;cepVehicleType0;22_v0;5585;x=4598796,0:y=5825007,0;5624;x=4599357,0:y=5826722,75;16437;16764;2186,076837;327;
cep25_carrier;1;cepVehicleType0;25_v0;6154;x=4603804,75:y=5823804,0;6165;x=4605196,0:y=5823435,5;10800;11152;2352,006868;352;
cep25_carrier;1;cepVehicleType0;25_v0;6165;x=4605196,0:y=5823435,5;6202;x=4605850,5:y=5823671,75;11272;11337;439;65;
cep25_carrier;1;cepVehicleType0;25_v0;6202;x=4605850,5:y=5823671,75;6200;x=4606087,0:y=5824158,0;11457;11561;694;104;
cep25_carrier;1;cepVehicleType0;25_v0;6200;x=4606087,0:y=5824158,0;6170;x=4605548,0:y=5823457,75;11681;11739;391;58;
cep25_carrier;1;cepVehicleType0;25_v0;6170;x=4605548,0:y=5823457,75;6140;x=4604891,5:y=5822552,0;11859;11990;880;131;
cep25_carrier;1;cepVehicleType0;25_v0;6140;x=4604891,5:y=5822552,0;5505;x=4601850,0:y=5821474,5;12110;12911;5341,606175;801;
cep25_carrier;1;cepVehicleType0;25_v0;5505;x=4601850,0:y=5821474,5;6154;x=4603804,75:y=5823804,0;13031;13671;4273,332598;640;
cep10_carrier;1;cepVehicleType0;10_v0;2126;x=4589404,5:y=5829052,0;523;x=4583650,25:y=5832904,5;10800;12060;8406,239915;1260;
cep10_carrier;1;cepVehicleType0;10_v0;523;x=4583650,25:y=5832904,5;2323;x=4588955,75:y=5833256,25;12180;13242;7084,225857;1062;
cep10_carrier;1;cepVehicleType0;10_v0;2323;x=4588955,75:y=5833256,25;2186;x=4590462,25:y=5828100,0;13362;14215;5690,309693;853;
cep10_carrier;1;cepVehicleType0;10_v0;2186;x=4590462,25:y=5828100,0;2126;x=4589404,5:y=5829052,0;14335;14690;2373;355;
cep23_carrier;1;cepVehicleType0;23_v0;5535;x=4602671,5:y=5824395,5;5521;x=4601558,0:y=5824669,0;10800;11011;1407,172723;211;
cep23_carrier;1;cepVehicleType0;23_v0;5521;x=4601558,0:y=5824669,0;5435;x=4600570,5:y=5823274,0;11131;11486;2367,723585;355;
cep23_carrier;1;cepVehicleType0;23_v0;5435;x=4600570,5:y=5823274,0;5519;x=4601852,0:y=5823605,5;11606;11756;1001;150;
cep23_carrier;1;cepVehicleType0;23_v0;5519;x=4601852,0:y=5823605,5;5535;x=4602671,5:y=5824395,5;11876;12193;2115,120613;317;
cep13_carrier;1;cepVehicleType0;13_v0;3057;x=4593219,5:y=5815393,75;7963;x=4591083,25:y=5815824,75;10800;11298;3322,418557;498;
cep13_carrier;1;cepVehicleType0;13_v0;7963;x=4591083,25:y=5815824,75;7014;x=4590494,0:y=5814715,0;11418;11692;1830,291983;274;
cep13_carrier;1;cepVehicleType0;13_v0;7014;x=4590494,0:y=5814715,0;1451;x=4590993,5:y=5816428,5;11812;12148;2243,353749;336;
cep13_carrier;1;cepVehicleType0;13_v0;1451;x=4590993,5:y=5816428,5;3109;x=4593616,5:y=5818370,0;12268;12843;3839,885994;575;
