ID;X_GK4;Y_GK4
810;4594758,745;5822653,735
811;4594718,679;5822608,503
812;4594733,797;5821127,963
813;4594833,019;5821140,411
815;4594778,551;5820580,423
816;4594877,86;5820592,161
817;4594967,764;5820586,677
818;4594722,36;5822550,234
819;4594719,957;5821098,553
820;4594704,188;5823036,365
821;4594802,133;5823056,536
822;4594728,5;5822958,146
823;4594722,935;5820826,111
824;4594822,291;5820837,449
825;4594706,936;5820810,632
826;4594722,049;5821656,014
827;4594819,955;5821676,381
828;4594716,379;5820730,964
829;4594721,83;5823476,926
830;4594772,057;5823390,455
831;4594823,263;5823304,569
832;4594766,95;5820734,554
833;4594734,508;5820710,605
834;4594749,18;5821595,923
835;4594770,134;5822302,734
836;4594861,46;5820668,156
837;4594762,11;5820656,796
838;4594777,928;5820644,29
839;4594877,132;5820656,868
840;4594976,529;5820667,825
843;4594796,538;5820537,828
844;4594895,773;5820550,184
846;4594821,336;5822685,557
847;4594789,508;5822780,356
848;4594757,73;5822875,173
849;4594835,102;5820442,092
850;4594758,451;5820390,333
853;4594798,338;5820337,23
854;4594897,734;5820348,202
855;4594785,065;5823540,265
856;4594874,191;5823585,614
857;4594848,315;5822609,159
858;4594778,234;5822565,034
859;4594770,854;5821593,747
860;4594780,367;5823134,992
861;4594860,616;5823186,094
863;4594826,703;5821707,492
864;4594849,495;5820745,047
865;4594789,591;5820717,837
866;4594871,44;5820743,878
867;4594876,313;5821041,044
868;4594783,782;5820991,525
870;4594822,669;5821260,064
872;4594845,745;5822215,694
873;4594917,332;5822120,883
874;4594824,888;5822159,014
875;4594840,082;5821503,728
876;4594802,372;5821522,548
877;4594841,666;5823662,45
878;4594887,967;5822707,718
879;4594833,097;5821177,065
880;4595008,725;5823802,337
881;4594918,576;5823759,06
882;4594828,637;5823715,364
883;4594843,335;5823301,701
884;4594937,118;5823336,389
885;4594862,764;5823236,199
886;4594879,855;5823067,451
887;4594838,47;5823038,199
888;4594872,26;5822944,087
889;4594868,217;5821660,947
890;4594839,309;5821540,787
893;4595060,808;5823734,217
894;4594970,381;5823691,521
895;4594879,952;5823648,826
